Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Kunimaipa	kuni1267	NA	b d̪ ɡ	Has spirantizing plosives	Goilalan	Papunesia
Nzema	nzim1238	NA	b ɡʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
English	stan1293	NA	d v ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Indo-European	Eurasia
Mingrelian	ming1252	Mingrelian (Martvili)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Meadow Mari	east2328	Meadow Mari (Joškar-Ola)	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
JOMANG	talo1250	NA	d ɡ	Voiced obs with no voiceless eq.	Narrow Talodi	Africa
Cayapa	chac1249	NA	ɡ	Has spirantizing plosives	Barbacoan	South America
!XU	juho1239	NA	ɦ	Voiced obs with no voiceless eq.	Kxa	Africa
Kulango	boun1243	Bouna	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Lagwan	lagw1237	NA	ʁ ʁʷ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Gamo	gamo1243	NA	d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Betta Kurumba	bett1235	NA	d̠ʒ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
Samo de Toma	sout2844	NA	ɡʲ	Voiced obs with no voiceless eq.	Mande	Africa
Denya	deny1238	NA	b	Has spirantizing plosives	Atlantic-Congo	Africa
Portuguese (Brazilian)	port1283	São Paulo	z	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Laz	lazz1240	Laz (Ardeşen)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Linngithigh	leni1238	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Ingush	ingu1240	NA	d̪ d̪ˤ zˤ ɡ ɡʲ ʁ ʒˤ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Guajajára	guaj1255	NA	z	Voiced obs with no voiceless eq.	Tupian	South America
KABARDIAN	kaba1278	NA	d̪ ɡʲ ɡʷ ɦ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Runyankore	nyan1307	NA	b	Has spirantizing plosives	Atlantic-Congo	Africa
Bariai	bari1286	NA	b d ɡ	Has spirantizing plosives; Has both sonorous and voiceless allophone	Austronesian	Papunesia
Weh	wehh1238	NA	b	Has spirantizing plosives	Atlantic-Congo	Africa
Sherbro	sher1258	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
