Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Yay	bouy1240	NA	ɡ	Has spirantizing plosives	Tai-Kadai	Eurasia
Mayogo	mayo1261	NA	ɦ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Emberá-Catío	embe1260	NA	d d̠ʒ	Voiced obs with no voiceless eq.	Chocoan	South America
Babungo	veng1238	Babungo (Grassfields Bantu, Ring)	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Dutch	dutc1256	Belgian Standard	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Abkhaz	abkh1244	Abkhaz (Abzhywa)	d dz dʷ d̠ʒ d̠ʓʷ ɡ ɡʲ ɡʷ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Norwegian	norw1259	NA	d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Sedang	seda1262	NA	ˀd	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Nuer	nuer1246	NA	ɦ	Voiced obs with no voiceless eq.	Nilotic	Africa
Tamasheq	tama1365	NA	d̠ʒ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Avikam	avik1243	NA	ɡ ɣ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Emmi	amii1238	NA	ʐ	Voiced obs with no voiceless eq.	Western Daly	Australia
TUNICA	tuni1252	NA	d ɡ	Voiced obs with no voiceless eq.	isolate	North America
Ngambai	ngam1268	NA	d̠ʒ	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Lak	lakk1252	NA	d ɡ ɢ ɢʷ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Nubi	nubi1253	NA	ɡ	Has both sonorous and voiceless allophone	Afro-Asiatic	Africa
Xhosa	xhos1239	NA	ɣ̤ ɮ̤	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Tangale	nucl1696	NA	d̠ʒ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Lango	lang1324	NA	d	Voiced obs with no voiceless eq.	Nilotic	Africa
Moru	moru1253	NA	b	Has spirantizing plosives	Central Sudanic	Africa
Yukaghir	nort2745	NA	ʁ	Voiced obs with no voiceless eq.	Yukaghir	Eurasia
Laz	lazz1240	Laz (Pazar)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Lɔgɔmagooi	loma1260	NA	d̠ʒ	Voiced obs with no voiceless eq.	Mande	Africa
Sundanese	sund1252	NA	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
MBUM	mbum1254	NA	ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Irish	iris1253	NA	d̠z̠ʲ d̪ˠ ɟʝ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
DAFLA	nyis1236	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
WICHITA	wich1260	NA	ɦ	Voiced obs with no voiceless eq.	Caddoan	North America
Lake Miwok; Miwok (Lake)	lake1258	NA	d	Voiced obs with no voiceless eq.	Miwok-Costanoan	North America
Washo	wash1253	NA	dz t̰s̰	Voiced obs with no voiceless eq.	isolate	North America
Savara	sora1254	NA	d̪ d̪	Has both sonorous and voiceless allophone; Has spirantizing plosives	Austroasiatic	Eurasia
Tatana''; Tatanaq; Tatana'	tata1257	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Tigemaxo Bozo	tiey1235	NA	d ɡ	Voiced obs with no voiceless eq.	Mande	Africa
Yorouba	yoru1245	Yorouba (Benin)	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Ngombale	ngom1271	NA	ɡʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
AKAN	akan1250	NA	d ɡ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kela	kela1255	Apoze	dz	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Tamil	tami1289	NA	ʐ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
SUI	suii1243	NA	d̪̰|d̰ ʁ	Voiced obs with no voiceless eq.	Tai-Kadai	Eurasia
BASHKIR	bash1264	NA	ʁ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Frisian	nort2626	Sölring North	ɡ	Has spirantizing plosives	Indo-European	Eurasia
KORYAK	kory1246	NA	ʝ	Voiced obs with no voiceless eq.	Chukotko-Kamchatkan	Eurasia
Karbi (Mikir)	karb1241	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Tagalog	taga1270	NA	ɡ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Olkol	ulku1238	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
LUNGCHOW	nung1283	NA	d̪̰|d̰	Voiced obs with no voiceless eq.	Tai-Kadai	Eurasia
Sa'ban	saba1265	NA	b d̠͈ʒ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Austronesian	Papunesia
Mongolian	mong1331	Mongolian (Khalkha)	d̠ʒ d̪z̪ ɡ ɡʲ ɢ ɮ ɮʲ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Kui	kuii1252	NA	ɟʝ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
PAPAGO	toho1245	NA	ɖ	Voiced obs with no voiceless eq.	Uto-Aztecan	North America
Egyptian Arabic	egyp1253	NA	d̠ʒ ðˤ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Yadhaykenu	yadh1237	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Burushaski	buru1296	Burushaski (Nagar)	ʐʲ	Voiced obs with no voiceless eq.	isolate	Eurasia
Angkamuthi	angg1238	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Ngkoth	ngko1236	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Mpalitjanh	mpal1238	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
FARSI	west2369	NA	d̪ ɡ ɢ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
EYAK	eyak1241	NA	d̠ʒ d̪z̪|dz d̪|d d̪ɮ̪|dɮ ɡ ɡʷ ɢ	Voiced obs with no voiceless eq.	Athabaskan-Eyak-Tlingit	North America
Yinwum	yinw1236	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Luthigh	luth1234	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	NA
Ronga	rong1268	NA	ɦ ʐʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Idu	idom1241	NA	d̠ʒʷ zʲ ɡʷʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Alngith	alng1239	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Eastern Khanty	vach1239	Eastern Khanty (Vakh)	ʁ	Voiced obs with no voiceless eq.	Uralic	Eurasia
YAREBA	yare1248	NA	dz	Voiced obs with no voiceless eq.	Yareban	Papunesia
Walangama	wala1263	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Laz	lazz1240	Laz (Borçka)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Dimili	diml1238	NA	b d̠ʒ	Has spirantizing plosives	Indo-European	Eurasia
Awtuw	awtu1239	NA	d	Voiced obs with no voiceless eq.	Sepik	Papunesia
Rimanggudinhma	mbar1253	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Anguthimri	angu1242	NA	ð ʑ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
ARMENIAN	nucl1235	NA	ʐ͇	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Ogh Unyjan	kawa1290	NA	ð ɣ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Argobba	argo1244	NA	b d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Takalak	ikar1243	NA	ð ʑ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Ikarranggal	ikar1243	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Marti Ke	mart1254	NA	ð ʐ ʑ	Voiced obs with no voiceless eq.	Western Daly	Australia
Marringarr	mari1419	NA	ð ʐ ʑ	Voiced obs with no voiceless eq.	Western Daly	Australia
Aari	aari1239	NA	ɦ	Voiced obs with no voiceless eq.	South Omotic	Africa
Kuteb	kute1248	NA	d̠ʒ	Has spirantizing plosives	Atlantic-Congo	Africa
Jibbali	sheh1240	Jibbali (Central)	d ɡʲ	Voiced obs with no voiceless eq.	Afro-Asiatic	Eurasia
Soghpo Tibetan	kham1282	NA	ʱdz ʱdʑ ʱz ʱʐ ʷd ʷz ʷɟ ʷʐ ʷʑ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Burushaski	buru1296	Burushaski (Hunza)	ʐʲ	Voiced obs with no voiceless eq.	isolate	Eurasia
Petats	peta1245	Petats central	b ɡ	Has spirantizing plosives	Austronesian	Papunesia
Kanuri	cent2050	NA	b ɡ	Has spirantizing plosives	Saharan	Africa
Najdi Arabic	najd1235	NA	ðˤ	Voiced obs with no voiceless eq.	Afro-Asiatic	Eurasia
Medumba	medu1238	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Turkish	nucl1301	Turkish (Standard)	d̠ʒ d̻ ɡ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Looma	loma1260	NA	d ɡ ɣ	Voiced obs with no voiceless eq.	Mande	Africa
Sui	suii1243	NA	ʁ	Voiced obs with no voiceless eq.	Tai-Kadai	Eurasia
Basque	basq1248	Goizueta Basque	b b d̪ ɡ	Has both sonorous and voiceless allophone; Has spirantizing plosives	isolate	Eurasia
Yapese	yape1248	NA	θ̰	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Tundra Nenets	nene1249	Tundra Nenets (Far Eastern)	dʲ	Voiced obs with no voiceless eq.	Uralic	Eurasia
Northern Kurdish	nort2641	Northern Kurdish (Kurmanji)	d d̠ʒ ɡ ʢ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Bukharan Tajik	taji1245	Bukharan	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Nasioi	naas1242	NA	b	Has spirantizing plosives	South Bougainville	Papunesia
French	stan1290	NA	ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Abkhaz	abkh1244	Abkhaz (Bzyb)	d dz dʷ d̠ʒ d̠ʓʷ ɡ ɡʲ ɡʷ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Kalmyk	kalm1243	Kalmyk (Standard)	z	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Turkmen	turk1304	Turkmen (Teke)	d̪	Voiced obs with no voiceless eq.	Turkic	Eurasia
Apatani	apat1240	NA	ɡʲ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Kod̩agu	koda1255	NA	ð	Voiced obs with no voiceless eq.	Dravidian	Eurasia
English (New Zealand)	stan1293	Pākehā	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Kadiweu	kadi1248	NA	d̠ʒ d̪ d̪ː ɡː ʁ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.	Guaicuruan	South America
Tosk Albanian	tosk1239	Tosk Albanian (Korçë)	ð͇ˠ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Pinyin	piny1238	NA	b ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
BERTA	bert1248	NA	d̠ʒ d̪|d ɡ	Voiced obs with no voiceless eq.	isolate	Africa
Kabardian	kaba1278	Kabardian (Ulyap)	zʷ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Yemba	yemb1246	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Waneci	wane1241	NA	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Baoan	bona1250	Baoan (Ñantoq)	ʒ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Catalan	stan1289	Barcelona	b d̪ ɡ	Has spirantizing plosives	Indo-European	Eurasia
Siwi	siwi1239	NA	ʕː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Zulu	zulu1248	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
ARCHI	arch1244	NA	d̪|d d̪ʷ|dʷ ɡ ɡʷ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Kwakiutl	kwak1269	NA	d dz ɡʷ ɢ ɢʷ	Voiced obs with no voiceless eq.	Wakashan	North America
Dhimal	dhim1246	NA	d̤ʑ̤ ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Hill Mari	west2392	Hill Mari (Jaransk)	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Karata	kara1474	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Atampaya	atam1239	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Chechen	chec1245	Chechen (Ҫ̇äberloy)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Vlax Romani	vlax1238	Vlax Romani (Mitrovica)	d̠ʒ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Banjara	lamb1269	NA	d̪	Voiced obs with no voiceless eq.	Indo-European	Eurasia
APINAYE	apin1244	NA	ʒ	Voiced obs with no voiceless eq.	Nuclear-Macro-Je	South America
Khalkha	halh1238	NA	d dz d̠ʒ ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Mongolic	Eurasia
Yil	yill1241	NA	ɡ	Has spirantizing plosives	Nuclear Torricelli	Papunesia
Skolt Saami	skol1241	Skolt Saami (Suõʹnnʼjel)	ðʲ	Voiced obs with no voiceless eq.	Uralic	Eurasia
TELUGU	telu1262	NA	d̪̤|d̤ ɦ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
Malagasy	plat1254	NA	dz	Has spirantizing plosives	Austronesian	Africa
Seneca	sene1264	NA	dz	Voiced obs with no voiceless eq.	Iroquoian	North America
Burushaski	buru1296	Burushaski (Werchikwar)	ʁ	Voiced obs with no voiceless eq.	isolate	Eurasia
Swedish	swed1254	Swedish (Central)	d̪ ɡ ʝ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Scottish Gaelic	scot1245	Scottish Gaelic (Lewis)	ðʲ ɣʲ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Chechen	chec1245	Chechen (Ploskost)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Campidanese Sardinian	camp1261	Campidanese Sardinian (Sestu)	ɖː ʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Tamang	east2347	Tamang (Dhankuta)	d̤	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Tundra Yukaghir	nort2745	NA	ʁ	Voiced obs with no voiceless eq.	Yukaghir	Eurasia
MONGUOR	tuuu1240	NA	d̠ʒ d̪z̪|dz ʝ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Jiarong	jiar1240	Chabao; Japhug	z	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Remo	bond1245	NA	d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Even	even1260	NA	ɡ	Has spirantizing plosives	Tungusic	Eurasia
Tofa	kara1462	NA	ɣ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Louyi	luya1241	NA	dz d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Wazirwola	cent1973	Wazirwola (South Wazīrī)	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Jili	liji1238	NA	d	Has spirantizing plosives	Atlantic-Congo	Africa
Khalkhal	khal1271	NA	d d̠ʒ ɡ ɢʁ ɣ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Finnish	finn1318	Finnish (Standard)	d̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Leggbo	legb1242	NA	dzː z	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Zayse	zays1236	NA	dz d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Saxwe, Gbe	saxw1241	NA	ɖ ɦ ɦʷ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Mende	mend1266	NA	d̠ʒ	Voiced obs with no voiceless eq.	Mande	Africa
Meadow Mari	east2328	Meadow Mari (Volga)	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Irish	iris1253	Irish (Corca Dhuibhne)	d̠ʒ d̪ʲ d̪ˠ ɟ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Farsi	west2369	NA	d d̠ʒ ɡ ɢʁ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Basque	basq1248	Basque (Ondarroa)	ɟ	Voiced obs with no voiceless eq.	isolate	Eurasia
Aragonese	arag1245	Chistabino	d̪	Has spirantizing plosives	Indo-European	Eurasia
Rusyn	rusy1239	Rusyn (Lemko)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Chechen	chec1245	Chechen (Şaroy)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Czech	czec1258	Prague	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Mehri	mehr1241	Mehri (Oman)	d ɡ	Voiced obs with no voiceless eq.	Afro-Asiatic	Eurasia
Scots	scot1243	Scots (Northern)	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Ukrainian	ukra1253	Ukrainian (Standard)	d̪ʲ z̪ʲ ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Dutch	dutc1256	the dialect of Maastricht (south-eastern dialect group; Central Limburgian)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Kresh	gbay1288	NA	d̠ʒ	Voiced obs with no voiceless eq.	Kresh-Aja	Africa
Bilua	bilu1245	NA	d̠ʒ	Voiced obs with no voiceless eq.	isolate	Papunesia
Central Sama	cent2092	Central Sama (Siasi)	b d dː d̠ʒ d̠ːʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Austronesian	Papunesia
Eastern Hill Balochi	east2304	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Pite Saami	pite1240	NA	ðː	Voiced obs with no voiceless eq.	Uralic	Eurasia
Defaka	defa1248	NA	d̠ʒ	Voiced obs with no voiceless eq.	Ijoid	Africa
Mah Meri	besi1244	Mah Meri (as spoken in Kampong Orang Asli Bukit Bangkong, Sepang, Malaysie)	d̺	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Czech	czec1258	Czech (Moravian)	d̺ ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
MORO	moro1285	NA	ð	Voiced obs with no voiceless eq.	Heibanic	Africa
Panjabi	panj1256	Panjabi (Eastern)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Dongxiang	dong1285	NA	ʁ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Nyinpa Cone	chen1255	NA	ʁ	Voiced obs with no voiceless eq.	Dravidian	Eurasia
Frisian	west2354	Frisian (West)	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Avar	avar1256	Avar (Chadakolob)	d ɡ ɡʷ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Urdu	urdu1245	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Yorouba	yoru1245	Yorouba (Nigeria)	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Andi	andi1255	NA	dː ɢʷ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Kamassian	kama1351	NA	dʑ d̪ ɡ	Voiced obs with no voiceless eq.	Uralic	Eurasia
Gujarati	guja1252	Gujarati (Standard)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
YULU	yulu1243	NA	d̪z̪	Voiced obs with no voiceless eq.	Central Sudanic	Africa
Jamamadí	jama1261	Jamamadí	ɟ	Voiced obs with no voiceless eq.	Arawan	South America
Bakoko	bako1249	NA	ɦ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Comorian, Ndzwani	ndzw1235	NA	ʕ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Kolami	nort2699	Kolami (Wardha)	dz	Voiced obs with no voiceless eq.	Dravidian	Eurasia
KET	kett1243	NA	ʝ	Voiced obs with no voiceless eq.	Yeniseian	Eurasia
Kadiwéu	kadi1248	NA	dː ɡː	Voiced obs with no voiceless eq.	Guaicuruan	South America
Norwegian	norw1258	Norwegian (Standard Østnorsk)	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Sindhi	sind1272	Sindhi (Vicholi)	d̻̤ʑ̻̤	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Georgian	nucl1302	NA	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Mingrelian	ming1252	Mingrelian (Zugdidi-Samurzaqano)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
German	stan1295	NA	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Laz	lazz1240	Laz (Arhavi)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Varli	varl1238	Varli (Dogri)	d̠̤ʒ̤	Voiced obs with no voiceless eq.	Indo-European	Eurasia
German	stan1295	German (Standard)	d̺ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Kanuri	cent2050	NA	b	Has spirantizing plosives	Saharan	Africa
CHEROKEE	cher1273	NA	d dz ɡ	Voiced obs with no voiceless eq.	Iroquoian	North America
SEDANG	seda1262	NA	d̪̰|d̰	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Sedik	taro1264	NA	ɮ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Chechen	chec1245	Chechen (Pẋarçxoy Äqqiy)	dz d̠ʒ d̪ ɡ ʁ ʕ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Ket	kett1243	Ket (Kellog)	ɮ̺	Voiced obs with no voiceless eq.	Yeniseian	Eurasia
Garadjari	kara1476	NA	d dʲ ɡ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Barein (Jalking)	bare1279	Jalking	ɟː	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
HIGHLAND CHINANTEC	quio1240	NA	z̪͇|z͇	Voiced obs with no voiceless eq.	Otomanguean	North America
Principense	prin1242	NA	ʒ	Voiced obs with no voiceless eq.	Indo-European	Africa
Svan	svan1243	Svan (Upper Bal)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Bats	bats1242	NA	dz d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Rawang	rawa1265	Rawang (Mutwang)	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Atayal	atay1247	NA	ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Zway	zayy1238	NA	d̠ʒ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Northern Altai	nort2686	Northern Altai (Kumandy)	ɣ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Laz	lazz1240	Laz (Hopa)	d̪ ɡ	Voiced obs with no voiceless eq.	Kartvelian	Eurasia
Tausug	taus1251	Tausug (Jolo)	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Lotha	loth1237	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Chukchi	chuk1273	NA	ɣ	Voiced obs with no voiceless eq.	Chukotko-Kamchatkan	Eurasia
Ksingmul	puoc1238	NA	zʲ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Kunigami	kuni1268	Kunigami (Nakijin)	d̺ ɡ	Voiced obs with no voiceless eq.	Japonic	Eurasia
Kole	bako1250	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Northwestern Pashto	nort2647	NA	d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Gagauz	gaga1249	Gagauz (Standard)	dʲ ɡʲ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Tsez	dido1241	Tsez (Asax)	ʁˤ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
Nchane	ncan1245	NA	d	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
songhoy	koyr1240	NA	ɡᶣ	Voiced obs with no voiceless eq.	Songhay	Africa
Yousafzai Pashto	nort2646	Yousafzai Pashto (Peshāwar)	d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Ndut-Falor	palo1243	Falor	ɗʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Dhivehi	dhiv1236	Dhivehi (Malé)	d̪ ɖ ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Lezgian	lezg1247	Lezgian (İsmayıllı)	ʕ	Voiced obs with no voiceless eq.	Nakh-Daghestanian	Eurasia
NENETS	nene1249	NA	ð ðʲ	Voiced obs with no voiceless eq.	Uralic	Eurasia
Solu Sherpa	sher1255	Solu Sherpa (Hile)	d	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
ATAYAL	atay1247	NA	ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Spanish	stan1288	Spanish (Murcian)	ɟ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Guajajara	guaj1255	NA	z	Voiced obs with no voiceless eq.	Tupian	South America
Hindi	hind1269	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Czech	czec1258	Czech (Bohemian)	d̺ ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
MOGHOL	mogh1245	NA	ʝ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
BANDJALANG	twee1234	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Dutch	dutc1256	the Belgian Limburg dialect of Hamont (belongs to the West Limburg dialects, subclassification: Dommellands)	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Tod Tibetan	stod1241	NA	z	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Darkhat	dark1243	NA	ɡ ʝ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
Dolgan	dolg1241	NA	ɡ	Voiced obs with no voiceless eq.	Turkic	Eurasia
Bakhtiari	bakh1245	NA	d d̠ʒ ɡʲ ɢ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Bulgarian	bulg1262	NA	d dʲ ɡ ɡʲ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Kedayan	keda1250	NA	d	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Meadow Mari	east2328	Meadow Mari (Morki-Sernur)	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Northern Saami	nort2671	Guovdageaidnu	ðː	Voiced obs with no voiceless eq.	Uralic	Eurasia
Opo	opuu1239	NA	d̠ʒ	Voiced obs with no voiceless eq.	Koman	Africa
Dafla	nyis1236	NA	ɦ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
