LanguageName	Glottocode	SpecificDialect	OffendingSegments	ReasonsForInclusion
Northern Kurdish	nort2641	Northern Kurdish (Kurmanji)	d d̠ʒ ɡ ʢ	Voiced obs with no voiceless eq.
Bukharan Tajik	taji1245	Bukharan	ʁ	Voiced obs with no voiceless eq.
Nasioi	naas1242	NA	b	Has spirantizing plosives
French	stan1290	NA	ʁ	Voiced obs with no voiceless eq.
Abkhaz	abkh1244	Abkhaz (Bzyb)	d dz dʷ d̠ʒ d̠ʓʷ ɡ ɡʲ ɡʷ	Voiced obs with no voiceless eq.
Kalmyk	kalm1243	Kalmyk (Standard)	z	Voiced obs with no voiceless eq.
Turkmen	turk1304	Turkmen (Teke)	d̪	Voiced obs with no voiceless eq.
Apatani	apat1240	NA	ɡʲ	Voiced obs with no voiceless eq.
Kod̩agu	koda1255	NA	ð	Voiced obs with no voiceless eq.
English (New Zealand)	stan1293	Pākehā	d ɡ	Voiced obs with no voiceless eq.
Kadiweu	kadi1248	NA	d̠ʒ d̪ d̪ː ɡː ʁ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.
Tosk Albanian	tosk1239	Tosk Albanian (Korçë)	ð͇ˠ	Voiced obs with no voiceless eq.
Pinyin	piny1238	NA	b ɡ	Has spirantizing plosives
BERTA	bert1248	NA	d̠ʒ d̪|d ɡ	Voiced obs with no voiceless eq.
Kabardian	kaba1278	Kabardian (Ulyap)	zʷ	Voiced obs with no voiceless eq.
Yemba	yemb1246	NA	ɡ	Has spirantizing plosives
Waneci	wane1241	NA	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Baoan	bona1250	Baoan (Ñantoq)	ʒ	Voiced obs with no voiceless eq.
Catalan	stan1289	Barcelona	b d̪ ɡ	Has spirantizing plosives
Siwi	siwi1239	NA	ʕː	Voiced obs with no voiceless eq.
Zulu	zulu1248	NA	d̠ʒ	Voiced obs with no voiceless eq.
ARCHI	arch1244	NA	d̪|d d̪ʷ|dʷ ɡ ɡʷ	Voiced obs with no voiceless eq.
Kwakiutl	kwak1269	NA	d dz ɡʷ ɢ ɢʷ	Voiced obs with no voiceless eq.
Dhimal	dhim1246	NA	d̤ʑ̤ ɦ	Voiced obs with no voiceless eq.
Hill Mari	west2392	Hill Mari (Jaransk)	ð̪̺	Voiced obs with no voiceless eq.
Karata	kara1474	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Atampaya	atam1239	NA	ð	Voiced obs with no voiceless eq.
Chechen	chec1245	Chechen (Ҫ̇äberloy)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.
Vlax Romani	vlax1238	Vlax Romani (Mitrovica)	d̠ʒ	Voiced obs with no voiceless eq.
Banjara	lamb1269	NA	d̪	Voiced obs with no voiceless eq.
APINAYE	apin1244	NA	ʒ	Voiced obs with no voiceless eq.
Khalkha	halh1238	NA	d dz d̠ʒ ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Yil	yill1241	NA	ɡ	Has spirantizing plosives
Skolt Saami	skol1241	Skolt Saami (Suõʹnnʼjel)	ðʲ	Voiced obs with no voiceless eq.
TELUGU	telu1262	NA	d̪̤|d̤ ɦ	Voiced obs with no voiceless eq.
Malagasy	plat1254	NA	dz	Has spirantizing plosives
Seneca	sene1264	NA	dz	Voiced obs with no voiceless eq.
Burushaski	buru1296	Burushaski (Werchikwar)	ʁ	Voiced obs with no voiceless eq.
Swedish	swed1254	Swedish (Central)	d̪ ɡ ʝ	Voiced obs with no voiceless eq.
Scottish Gaelic	scot1245	Scottish Gaelic (Lewis)	ðʲ ɣʲ	Voiced obs with no voiceless eq.
Chechen	chec1245	Chechen (Ploskost)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.
Campidanese Sardinian	camp1261	Campidanese Sardinian (Sestu)	ɖː ʁ	Voiced obs with no voiceless eq.
Tamang	east2347	Tamang (Dhankuta)	d̤	Voiced obs with no voiceless eq.
Tundra Yukaghir	nort2745	NA	ʁ	Voiced obs with no voiceless eq.
MONGUOR	tuuu1240	NA	d̠ʒ d̪z̪|dz ʝ	Voiced obs with no voiceless eq.
Jiarong	jiar1240	Chabao; Japhug	z	Voiced obs with no voiceless eq.
Remo	bond1245	NA	d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Even	even1260	NA	ɡ	Has spirantizing plosives
Tofa	kara1462	NA	ɣ	Voiced obs with no voiceless eq.
Louyi	luya1241	NA	dz d̠ʒ	Voiced obs with no voiceless eq.
Wazirwola	cent1973	Wazirwola (South Wazīrī)	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Jili	liji1238	NA	d	Has spirantizing plosives
Khalkhal	khal1271	NA	d d̠ʒ ɡ ɢʁ ɣ	Voiced obs with no voiceless eq.
Finnish	finn1318	Finnish (Standard)	d̺	Voiced obs with no voiceless eq.
Leggbo	legb1242	NA	dzː z	Voiced obs with no voiceless eq.
Zayse	zays1236	NA	dz d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.
Saxwe, Gbe	saxw1241	NA	ɖ ɦ ɦʷ	Voiced obs with no voiceless eq.
Mende	mend1266	NA	d̠ʒ	Voiced obs with no voiceless eq.
Meadow Mari	east2328	Meadow Mari (Volga)	ð̪̺	Voiced obs with no voiceless eq.
Irish	iris1253	Irish (Corca Dhuibhne)	d̠ʒ d̪ʲ d̪ˠ ɟ ɡ	Voiced obs with no voiceless eq.
Farsi	west2369	NA	d d̠ʒ ɡ ɢʁ	Voiced obs with no voiceless eq.
Basque	basq1248	Basque (Ondarroa)	ɟ	Voiced obs with no voiceless eq.
Aragonese	arag1245	Chistabino	d̪	Has spirantizing plosives
Rusyn	rusy1239	Rusyn (Lemko)	ɦ	Voiced obs with no voiceless eq.
Chechen	chec1245	Chechen (Şaroy)	dz d̠ʒ d̪ ɡ ʁ	Voiced obs with no voiceless eq.
Czech	czec1258	Prague	ɦ	Voiced obs with no voiceless eq.
Mehri	mehr1241	Mehri (Oman)	d ɡ	Voiced obs with no voiceless eq.
Scots	scot1243	Scots (Northern)	d ɡ	Voiced obs with no voiceless eq.
Ukrainian	ukra1253	Ukrainian (Standard)	d̪ʲ z̪ʲ ɦ	Voiced obs with no voiceless eq.
Dutch	dutc1256	the dialect of Maastricht (south-eastern dialect group; Central Limburgian)	ɦ	Voiced obs with no voiceless eq.
Kresh	gbay1288	NA	d̠ʒ	Voiced obs with no voiceless eq.
Bilua	bilu1245	NA	d̠ʒ	Voiced obs with no voiceless eq.
Central Sama	cent2092	Central Sama (Siasi)	b d dː d̠ʒ d̠ːʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Eastern Hill Balochi	east2304	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Pite Saami	pite1240	NA	ðː	Voiced obs with no voiceless eq.
Defaka	defa1248	NA	d̠ʒ	Voiced obs with no voiceless eq.
Mah Meri	besi1244	Mah Meri (as spoken in Kampong Orang Asli Bukit Bangkong, Sepang, Malaysie)	d̺	Voiced obs with no voiceless eq.
Czech	czec1258	Czech (Moravian)	d̺ ɦ	Voiced obs with no voiceless eq.
MORO	moro1285	NA	ð	Voiced obs with no voiceless eq.
Panjabi	panj1256	Panjabi (Eastern)	ɦ	Voiced obs with no voiceless eq.
Dongxiang	dong1285	NA	ʁ	Voiced obs with no voiceless eq.
Nyinpa Cone	chen1255	NA	ʁ	Voiced obs with no voiceless eq.
Frisian	west2354	Frisian (West)	d ɡ	Voiced obs with no voiceless eq.
Avar	avar1256	Avar (Chadakolob)	d ɡ ɡʷ	Voiced obs with no voiceless eq.
Urdu	urdu1245	NA	ɦ	Voiced obs with no voiceless eq.
Yorouba	yoru1245	Yorouba (Nigeria)	d̠ʒ	Voiced obs with no voiceless eq.
Andi	andi1255	NA	dː ɢʷ	Voiced obs with no voiceless eq.
Kamassian	kama1351	NA	dʑ d̪ ɡ	Voiced obs with no voiceless eq.
Gujarati	guja1252	Gujarati (Standard)	ɦ	Voiced obs with no voiceless eq.
YULU	yulu1243	NA	d̪z̪	Voiced obs with no voiceless eq.
Jamamadí	jama1261	Jamamadí	ɟ	Voiced obs with no voiceless eq.
Bakoko	bako1249	NA	ɦ	Voiced obs with no voiceless eq.
Comorian, Ndzwani	ndzw1235	NA	ʕ	Voiced obs with no voiceless eq.
Kolami	nort2699	Kolami (Wardha)	dz	Voiced obs with no voiceless eq.
KET	kett1243	NA	ʝ	Voiced obs with no voiceless eq.
Kadiwéu	kadi1248		dː ɡː	Voiced obs with no voiceless eq.
Norwegian	norw1258	Norwegian (Standard Østnorsk)	d ɡ	Voiced obs with no voiceless eq.
Sindhi	sind1272	Sindhi (Vicholi)	d̻̤ʑ̻̤	Voiced obs with no voiceless eq.
Georgian	nucl1302	NA	d̪ ɡ	Voiced obs with no voiceless eq.
Mingrelian	ming1252	Mingrelian (Zugdidi-Samurzaqano)	d̪ ɡ	Voiced obs with no voiceless eq.
German	stan1295	NA	d ɡ	Voiced obs with no voiceless eq.
Laz	lazz1240	Laz (Arhavi)	d̪ ɡ	Voiced obs with no voiceless eq.
Varli	varl1238	Varli (Dogri)	d̠̤ʒ̤	Voiced obs with no voiceless eq.
German	stan1295	German (Standard)	d̺ ɡ	Voiced obs with no voiceless eq.
Kanuri	cent2050	NA	b	Has spirantizing plosives
CHEROKEE	cher1273	NA	d dz ɡ	Voiced obs with no voiceless eq.
SEDANG	seda1262	NA	d̪̰|d̰	Voiced obs with no voiceless eq.
Sedik	taro1264	NA	ɮ	Voiced obs with no voiceless eq.
Chechen	chec1245	Chechen (Pẋarçxoy Äqqiy)	dz d̠ʒ d̪ ɡ ʁ ʕ	Voiced obs with no voiceless eq.
Ket	kett1243	Ket (Kellog)	ɮ̺	Voiced obs with no voiceless eq.
Garadjari	kara1476	NA	d dʲ ɡ	Voiced obs with no voiceless eq.
Barein (Jalking)	bare1279	Jalking	ɟː	Voiced obs with no voiceless eq.
HIGHLAND CHINANTEC	quio1240	NA	z̪͇|z͇	Voiced obs with no voiceless eq.
Principense	prin1242	NA	ʒ	Voiced obs with no voiceless eq.
Svan	svan1243	Svan (Upper Bal)	d̪ ɡ	Voiced obs with no voiceless eq.
Bats	bats1242	NA	dz d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.
Rawang	rawa1265	Rawang (Mutwang)	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Atayal	atay1247	NA	ʒ	Voiced obs with no voiceless eq.
Zway	zayy1238	NA	d̠ʒ	Voiced obs with no voiceless eq.
Northern Altai	nort2686	Northern Altai (Kumandy)	ɣ	Voiced obs with no voiceless eq.
Laz	lazz1240	Laz (Hopa)	d̪ ɡ	Voiced obs with no voiceless eq.
Tausug	taus1251	Tausug (Jolo)	d	Voiced obs with no voiceless eq.
Lotha	loth1237	NA	ɦ	Voiced obs with no voiceless eq.
Chukchi	chuk1273	NA	ɣ	Voiced obs with no voiceless eq.
Ksingmul	puoc1238	NA	zʲ	Voiced obs with no voiceless eq.
Kunigami	kuni1268	Kunigami (Nakijin)	d̺ ɡ	Voiced obs with no voiceless eq.
Kole	bako1250	NA	d̠ʒ	Voiced obs with no voiceless eq.
Northwestern Pashto	nort2647	NA	d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Gagauz	gaga1249	Gagauz (Standard)	dʲ ɡʲ	Voiced obs with no voiceless eq.
Tsez	dido1241	Tsez (Asax)	ʁˤ	Voiced obs with no voiceless eq.
Nchane	ncan1245	NA	d	Voiced obs with no voiceless eq.
songhoy	koyr1240	NA	ɡᶣ	Voiced obs with no voiceless eq.
Yousafzai Pashto	nort2646	Yousafzai Pashto (Peshāwar)	d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Ndut-Falor	palo1243	Falor	ɗʒ	Voiced obs with no voiceless eq.
Dhivehi	dhiv1236	Dhivehi (Malé)	d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Lezgian	lezg1247	Lezgian (İsmayıllı)	ʕ	Voiced obs with no voiceless eq.
NENETS	nene1249	NA	ð ðʲ	Voiced obs with no voiceless eq.
Solu Sherpa	sher1255	Solu Sherpa (Hile)	d	Voiced obs with no voiceless eq.
ATAYAL	atay1247	NA	ʒ	Voiced obs with no voiceless eq.
Spanish	stan1288	Spanish (Murcian)	ɟ	Voiced obs with no voiceless eq.
Guajajara	guaj1255	NA	z	Voiced obs with no voiceless eq.
Hindi	hind1269	NA	ɦ	Voiced obs with no voiceless eq.
Czech	czec1258	Czech (Bohemian)	d̺ ɦ	Voiced obs with no voiceless eq.
MOGHOL	mogh1245	NA	ʝ	Voiced obs with no voiceless eq.
BANDJALANG	twee1234	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Dutch	dutc1256	the Belgian Limburg dialect of Hamont (belongs to the West Limburg dialects, subclassification: Dommellands)	ɦ	Voiced obs with no voiceless eq.
Tod Tibetan	stod1241	NA	z	Voiced obs with no voiceless eq.
Darkhat	dark1243	NA	ɡ ʝ	Voiced obs with no voiceless eq.
Dolgan	dolg1241	NA	ɡ	Voiced obs with no voiceless eq.
Bakhtiari	bakh1245	NA	d d̠ʒ ɡʲ ɢ	Voiced obs with no voiceless eq.
Bulgarian	bulg1262	NA	d dʲ ɡ ɡʲ	Voiced obs with no voiceless eq.
Kedayan	keda1250	NA	d	Voiced obs with no voiceless eq.
Meadow Mari	east2328	Meadow Mari (Morki-Sernur)	ð̪̺	Voiced obs with no voiceless eq.
Northern Saami	nort2671	Guovdageaidnu	ðː	Voiced obs with no voiceless eq.
Opo	opuu1239	NA	d̠ʒ	Voiced obs with no voiceless eq.
Dafla	nyis1236	NA	ɦ	Voiced obs with no voiceless eq.
Xumi	shix1238	Lower Xumi	b dz d̠ʒ ɡ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Cocos Malay	coco1260	Spoken in Kampung Cocos in the Lahad Datu district of Sabah, Malaysia	d ʁ	Voiced obs with no voiceless eq.
Laarim	nari1240	NA	ð ɖ	Voiced obs with no voiceless eq.
Kumzari	kumz1235	Kumzari spoken in Khasab, Oman	ɦ	Voiced obs with no voiceless eq.
Greek	mode1248	Standard Modern Greek (Athenian)	b d̪ ɡ	Has spirantizing plosives
Tausug (Suluk)	taus1251	Jolo, Philippines	d	Voiced obs with no voiceless eq.
Spanish	stan1288	Castilian Spanish	d̻ ɟʝ ɟʝ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Slovak	slov1269	Standard Slovak (Bratislava / Kos̆ice)	ɦ	Voiced obs with no voiceless eq.
Portuguese (European)	port1283	Lisbon	ʁ	Voiced obs with no voiceless eq.
Siwu	siwu1238	NA	ʕ	Voiced obs with no voiceless eq.
Soso	susu1250	NA	d̠ʒ	Voiced obs with no voiceless eq.
Abipon	abip1241		ʁ	Voiced obs with no voiceless eq.
Pilaga; Pilagá	pila1245	NA	d ɡ ʕ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Nuosu	sich1238	Nuosu (Black Yi)	ʒ̩	Voiced obs with no voiceless eq.
Mambila	came1252	Atta	d̠ʒ ɡ	Has spirantizing plosives
Awiya	awng1244	NA	b	Has spirantizing plosives
Luxembourgish	luxe1241	Standard central Luxembourgish	ʁ	Has both sonorous and voiceless allophone
Ts'amakko	tsam1247	NA	d̠ʒː	Voiced obs with no voiceless eq.
Arapesh	bumb1241	NA	dz d̪ ɡ	Voiced obs with no voiceless eq.
Kpelle, North	guin1254	NA	dz	Voiced obs with no voiceless eq.
Judeo-Spanish	ladi1251	Istanbul Judeo-Spanish	b d̻ ɡ	Has spirantizing plosives
MIXTEC	sanm1295	NA	ð	Voiced obs with no voiceless eq.
KAREN	sgaw1245	NA	z͇ ɦ	Voiced obs with no voiceless eq.
NERA	nara1262	NA	d̠ʒ	Voiced obs with no voiceless eq.
Mundari	mund1320	NA	ˀd ˀd̠ʒ ˀɖ ˀɡ	Voiced obs with no voiceless eq.
Huastec	huas1242	Potosino dialect	b	Has spirantizing plosives
WOLOF	nucl1347	NA	ɟː	Voiced obs with no voiceless eq.
Kimaragang	kima1244	Tandek	d̠ʒ	Voiced obs with no voiceless eq.
English (British)	stan1293	Tyneside English (spoken in Newcastle)	d d	Has spirantizing plosives; Voiced obs with no voiceless eq.
Arabe	suda1236	NA	d̠ʒ d̠ʒː	Voiced obs with no voiceless eq.
English (British)	stan1293	Liverpool	b d ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
English (Australian)	stan1293	NA	d d	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
ALEUT	aleu1260	NA	ð	Voiced obs with no voiceless eq.
Bashkir	bash1264	Bashkir (Standard)	ʁ	Voiced obs with no voiceless eq.
Dutch	dutc1256	the dialect of Hasselt (belongs to the West-Limburgian dialect group)	d̠ʒ	Voiced obs with no voiceless eq.
BATAK	bata1289	NA	d̠ʒ	Voiced obs with no voiceless eq.
Cwaya	shwa1239	NA	ð	Voiced obs with no voiceless eq.
Tarok	taro1263	NA	dz	Voiced obs with no voiceless eq.
!Xun	kung1261	W2	d̠ʒː ɦ	Voiced obs with no voiceless eq.
Pisamira	pisa1245		ʝ	Voiced obs with no voiceless eq.
NORWEGIAN	norw1259	NA	d̪ ɖ ɡ	Voiced obs with no voiceless eq.
NEWARI	newa1246	NA	ɦ	Voiced obs with no voiceless eq.
Pero	pero1241	NA	b ɡ	Has spirantizing plosives
Dagbani	dagb1246	NA	ɡ	Has spirantizing plosives
Marwari	marw1260	NA	ʝ	Voiced obs with no voiceless eq.
Chiriguano	east2555	Izoceño dialect	ʝ	Voiced obs with no voiceless eq.
Joola Huluf	jola1262	NA	d̠ʒ	Voiced obs with no voiceless eq.
SENECA	sene1264	NA	d̪z̪|dz	Voiced obs with no voiceless eq.
Mokpwe	mokp1239	NA	d̠ʒ ʒ	Voiced obs with no voiceless eq.
Chiriguano	east2555	Chané dialect	ʝ	Voiced obs with no voiceless eq.
American English	stan1293	Southeastern Michigan	d ɡ	Voiced obs with no voiceless eq.
Fang	fang1248	NA	ʒ	Voiced obs with no voiceless eq.
Avá-Canoeiro	avac1239		ʁ	Voiced obs with no voiceless eq.
Paraguayan Guaraní	para1311		d̠ʒ ɣʷ	Voiced obs with no voiceless eq.
Umotína	umot1240		z	Voiced obs with no voiceless eq.
Koorete	koor1239	NA	d dz dː d̠ʒ ɡ	Voiced obs with no voiceless eq.
Kare	kare1338	NA	d̠ʒ	Voiced obs with no voiceless eq.
Karajá	kara1500		d	Voiced obs with no voiceless eq.
Jemez	jeme1245	NA	ɡ ɡʲ	Voiced obs with no voiceless eq.
Otuho	otuh1238	NA	d	Voiced obs with no voiceless eq.
Andoke	ando1256		ɟ	Voiced obs with no voiceless eq.
Toba	toba1269	Takshek dialect	ʁ	Voiced obs with no voiceless eq.
Pilagá	pila1245		ʕ	Voiced obs with no voiceless eq.
Sakha	yaku1245	Sakha (Standard)	ʁ	Voiced obs with no voiceless eq.
Persian	west2369	NA	d ɡ	Voiced obs with no voiceless eq.
Günün Yajich	puel1244		ɡ ʱd	Voiced obs with no voiceless eq.
lega-shabunda	lega1249	beya	ɟ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Hixkaryána	hixk1239		dʲ	Voiced obs with no voiceless eq.
KAWAIISU	kawa1283	NA	ɣʷ	Voiced obs with no voiceless eq.
Miraña	mira1254	Miraña	ɡʷ	Voiced obs with no voiceless eq.
Slovak	slov1269	Slovak (Standard)	ɦ	Voiced obs with no voiceless eq.
Ngomba	ngom1272	NA	bv dz ɡ	Has spirantizing plosives
Urdu	urdu1245	NA	z	Voiced obs with no voiceless eq.
Urali	ural1274	NA	ð	Voiced obs with no voiceless eq.
Zapotec	loxi1235	Loxicha	z ɣʷ	Voiced obs with no voiceless eq.
Soːra	sora1254	NA	d ɟʝ	Voiced obs with no voiceless eq.
Nchufie	bafa1249	NA	ɣ	Voiced obs with no voiceless eq.
Kharia	khar1287	NA	ɦ	Voiced obs with no voiceless eq.
Indonesian	indo1316	Central Java	d	Voiced obs with no voiceless eq.
Mising	miny1240	NA	ɟʝ	Voiced obs with no voiceless eq.
Gutob	bodo1267	NA	t̪̰	Voiced obs with no voiceless eq.
YORUBA	yoru1245	NA	d̠ʒ	Voiced obs with no voiceless eq.
Wolof	nucl1347	NA	dː d̠ʒː ɡː	Voiced obs with no voiceless eq.
Ouldeme	wuzl1236	NA	ɣʷ	Voiced obs with no voiceless eq.
Palauan	pala1344	NA	d̪	Has spirantizing plosives
Warluwarra	warl1256	NA	ʐ ʑ	Voiced obs with no voiceless eq.
Angas	ngas1240	NA	d d̠ʒ ɡ ɣ	Voiced obs with no voiceless eq.
Nara	nara1262	Higir	ɡ	Has spirantizing plosives
Hill Mari	west2392	Hill Mari (Kozmodemjansk)	ð̪̺	Voiced obs with no voiceless eq.
Ikalanga	ikal1242	NA	bɡ d dzʷ dʷ d̠ʒ̤ ɦ	Voiced obs with no voiceless eq.
COFAN	cofa1242	NA	ʑ	Voiced obs with no voiceless eq.
Modern Hebrew	hebr1245	NA	ʁ	Voiced obs with no voiceless eq.
Kashimiri	kash1277	NA	ɦ	Voiced obs with no voiceless eq.
YUKAGHIR	nort2745	NA	ʁ	Voiced obs with no voiceless eq.
SOMALI	soma1255	NA	d̪ ɖ̰ ɡ ɢ	Voiced obs with no voiceless eq.
ASMAT	tamn1235	NA	ʝ	Voiced obs with no voiceless eq.
Bengali	beng1280	NA	b̤ d̠ʒ	Has spirantizing plosives
Santali	sant1410	NA	t̪̰	Voiced obs with no voiceless eq.
Nyam	nyam1285	NA	dʲ ɡɓ	Voiced obs with no voiceless eq.
TAMASHEQ	taha1241	NA	z̪ˤ	Voiced obs with no voiceless eq.
KOHUMONO	kohu1244	NA	ɡ ɡʷ	Voiced obs with no voiceless eq.
babole	dibo1245	NA	b	Has spirantizing plosives
Kharia	khar1287	NA	ɦ	Voiced obs with no voiceless eq.
Kensei Nsei	kens1251	NA	ʒ ʒʷ	Voiced obs with no voiceless eq.
Dutch	dutc1256	Belgian Standard Dutch	ɦ	Voiced obs with no voiceless eq.
PAIWAN	paiw1248	NA	ɖ	Voiced obs with no voiceless eq.
Huaylas	huay1240	NA	b d	Has spirantizing plosives
Kharia	khar1287	NA	ɟʱ ɦ ˀɟ	Voiced obs with no voiceless eq.
Sinhalese	sinh1246	NA	b d ɡ ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.
German	stan1295	NA	d ɡ ʁ ʁ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
YAWA	nucl1454	NA	d̠ʒ	Voiced obs with no voiceless eq.
Satawalese	sata1237	NA	ɡ	Has spirantizing plosives
ACOMA	west2632	NA	d̠ʒ d̪ d̪z̪ ɖʐ ɡ	Voiced obs with no voiceless eq.
Mboó	mboc1235	NA	d̠ʒ	Voiced obs with no voiceless eq.
IGBO	nucl1417	NA	d̠ʒ	Voiced obs with no voiceless eq.
Akan	akan1250	NA	d d ɟʝ ɟʝʷ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
KHASI	khas1269	NA	d̠ʒ	Voiced obs with no voiceless eq.
Tuva; Tuvan	tuvi1240	NA	ɡ	Has spirantizing plosives
KANAKURU	dera1248	NA	ɮ	Voiced obs with no voiceless eq.
Kada	gida1247	Guidar	ɟ	Voiced obs with no voiceless eq.
Nkonya	nkon1248	NA	ɦ	Voiced obs with no voiceless eq.
Tarascan	pure1242	NA	b d ɡ	Has spirantizing plosives
Ewe	ewee1241	NA	d̻ ɡ	Voiced obs with no voiceless eq.
Bangolan	bang1356	NA	ɡ	Has spirantizing plosives
Wambon	wamb1259	NA	d̠ʒ	Voiced obs with no voiceless eq.
FUR	furr1244	NA	d̠ʒ	Voiced obs with no voiceless eq.
Tagalog	taga1270	NA	b	Has spirantizing plosives
Kurtjar	gurd1238	NA	ð	Voiced obs with no voiceless eq.
Logo	logo1259	NA	b	Has spirantizing plosives
matuumbi	matu1259	NA	ɡ	Voiced obs with no voiceless eq.
BEJA	beja1238	NA	d̠ʒ	Voiced obs with no voiceless eq.
Portuguese	port1283	Portuguese (Estremenho)	ʁ	Voiced obs with no voiceless eq.
BURUSHASKI	buru1296	NA	ʐ͇	Voiced obs with no voiceless eq.
ALAMBLAK	alam1246	NA	d ɡ	Voiced obs with no voiceless eq.
Inuit	kala1399	NA	ʁ ʝ	Voiced obs with no voiceless eq.
Turkish	nucl1301	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
ngwe	ngwe1238	NA	ɡ	Has spirantizing plosives
ARRERNTE	east2379	NA	d̠ⁿ d̪ⁿ dⁿ ɖⁿ ɡⁿ	Voiced obs with no voiceless eq.
Apinaye	apin1244	NA	ʒ	Voiced obs with no voiceless eq.
Basari	ntch1242	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
BOBO-FING	nort2819	NA	d ɡ	Voiced obs with no voiceless eq.
Nawdm	nawd1238	NA	d̠ʒ	Voiced obs with no voiceless eq.
Baka	baka1272	NA	d̠ʒ	Voiced obs with no voiceless eq.
Somali	soma1255	NA	b d dː ɡ ɡ ɡː ɢ ɢ ɢː ᶑ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.
Dagara	nort2780	NA	ɡ	Has spirantizing plosives
Thaadou	thad1238	NA	ɦ	Voiced obs with no voiceless eq.
ABIPON	abip1241	NA	ʁ	Voiced obs with no voiceless eq.
Totela	tote1238	NA	d̠ʒ ɣʷ	Voiced obs with no voiceless eq.
Krenak	kren1239		ʒ	Voiced obs with no voiceless eq.
Antiguan Creole	anti1245	NA	b	Has spirantizing plosives
Wapishana	wapi1253	NA	d dˀ dˀ ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
Nagamese	naga1394	NA	bʱ	Has spirantizing plosives
Breton	bret1244	NA	d ɡ	Voiced obs with no voiceless eq.
Burji	burj1242	NA	ɡ	Voiced obs with no voiceless eq.
Nigerian Pidgin	nige1257	NA	b d ɡ	Has spirantizing plosives; Has both sonorous and voiceless allophone
Ahanta	ahan1243	NA	b ɡʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Balese	lese1243	NA	dʷ	Voiced obs with no voiceless eq.
Georgian	nucl1302	NA	β	Has both sonorous and voiceless allophone
Barein (Jalkiya)	bare1279	Jalkiya	ɟː	Voiced obs with no voiceless eq.
Southwestern Pashto	sout2436	Southwestern Pashto (Kandahar)	dz d̠ʒ d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Godoberi	ghod1238	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
HUAVE	sanm1287	NA	z̪͇|z͇	Voiced obs with no voiceless eq.
Belanda Viri	bela1255	NA	d̠ʒ	Voiced obs with no voiceless eq.
Urii	urii1240	NA	ɡ	Has spirantizing plosives
Yuqui	yuqu1240		ʝ	Voiced obs with no voiceless eq.
DYIRBAL	dyir1250	NA	d ɡ	Voiced obs with no voiceless eq.
Kom	komc1235	NA	ɣʲ	Voiced obs with no voiceless eq.
Bongo	bong1285	NA	b ɡ	Has spirantizing plosives
Wichita	wich1260	NA	ɦ	Voiced obs with no voiceless eq.
Ladakhi	lada1244	NA	b d̪ ɡ ɮ	Has spirantizing plosives; Voiced obs with no voiceless eq.
CHUKCHI	chuk1273	NA	ʐ͇	Voiced obs with no voiceless eq.
IRISH	iris1253	NA	d ɡ ɡʲ	Voiced obs with no voiceless eq.
Mbodomo; Mbódɔ̀mɔ́	gbay1281	NA	ɡ	Has spirantizing plosives
Krio	krio1253	NA	ʁ	Voiced obs with no voiceless eq.
Ndonga (Eunda)	ndon1254	Eunda	dʲ	Voiced obs with no voiceless eq.
Mvumbo	mvum1238	NA	b ɡ	Has spirantizing plosives
