Name	Code	Family	Area
Thavung	aheu1239	Austroasiatic	Eurasia
Thayore	thay1249	Pama-Nyungan	Australia
Thaypan	thay1248	Pama-Nyungan	Australia
Thiin	thii1234	Pama-Nyungan	Australia
Thulung	thul1246	Sino-Tibetan	Eurasia
Thurawal	thur1254	Pama-Nyungan	Australia
Tiagbamrin Aizi	tiag1235	Atlantic-Congo	Africa
Tibetan	tibe1272	Sino-Tibetan	Eurasia
Ticuna	ticu1245	Ticuna-Yuri	South America
Tiéyaxo Bozo	tiey1235	Mande	Africa
Tigak	tiga1245	Austronesian	Papunesia
Tigon Mbembe	tigo1236	Atlantic-Congo	Africa
Tigre	tigr1270	Afro-Asiatic	Africa
Tigrinya	tigr1271	Afro-Asiatic	Africa
Tikar	tika1246	Atlantic-Congo	Africa
Tilquiapan Zapotec	tilq1235	Otomanguean	North America
Timne	timn1235	Atlantic-Congo	Africa
Tinigua	tini1245	isolate	South America
Tinputz	tinp1237	Austronesian	Papunesia
Tipai	kumi1248	Cochimi-Yuman	North America
Tira	tira1254	Heibanic	Africa
Tirma-Chai	suri1267	Surmic	Africa
Tiruray	tiru1241	Austronesian	Papunesia
Tiv	tivv1240	Atlantic-Congo	Africa
Tiwi	tiwi1244	isolate	Australia
Tlachichilco Tepehua	tlac1235	Totonacan	North America
Tlingit	tlin1245	Athabaskan-Eyak-Tlingit	North America
Toaripi	toar1246	Eleman	Papunesia
Toba	toba1269	Guaicuruan	South America
Tocantins Asurini	toca1235	Tupian	South America
Tocho	toch1257	Narrow Talodi	Africa
Toda	toda1252	Dravidian	Eurasia
Tofin Gbe	tofi1235	Atlantic-Congo	Africa
Tohono O'odham	toho1245	Uto-Aztecan	North America
Tok Pisin	tokp1240	Indo-European	Papunesia
Tol	toll1241	Jicaquean	North America
Tolowa-Chetco	tolo1259	Athabaskan-Eyak-Tlingit	North America
Tonga (Tonga Islands)	tong1325	Austronesian	Papunesia
Tonga (Zambia)	tong1318	Atlantic-Congo	Africa
Tonkawa	tonk1249	isolate	North America
Toposa	topo1242	Nilotic	Africa
Toro So Dogon	toro1252	Dogon	Africa
Torwali	torw1241	Indo-European	Eurasia
Totela	tote1238	Atlantic-Congo	Africa
Totontepec Mixe	toto1305	Mixe-Zoque	North America
Toura (Côte d'Ivoire)	tour1242	Mande	Africa
Towa	jeme1245	Kiowa-Tanoan	North America
